new,original
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,108
109,109
110,110
111,111
112,112
113,113
114,114
115,115
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,127
128,128
129,129
130,130
131,131
132,132
133,133
134,134
135,135
136,136
137,137
138,138
139,139
140,140
141,141
142,142
143,143
144,144
145,145
146,146
147,147
148,148
149,149
150,150
151,151
152,152
153,153
154,154
155,155
156,156
157,157
158,158
159,159
160,160
161,161
162,162
163,163
164,164
165,165
166,166
167,167
168,168
169,169
170,170
171,171
172,172
173,173
174,174
175,175
176,176
177,177
178,178
179,179
180,180
181,181
182,182
183,183
184,184
185,185
186,186
187,187
188,188
189,189
190,190
191,191
192,192
193,193
194,194
195,195
196,196
197,197
198,198
199,199
200,200
201,201
202,202
203,203
204,204
205,205
206,206
207,1001
208,1002
209,1003
210,1004
211,1005
212,1006
213,1007
214,1008
215,1009
216,1010
217,1011
218,1012
219,1013
220,1014
221,1015
222,1016
223,1017
224,1018
225,1019
226,1020
227,1021
228,1022
229,1023
230,1024
231,1025
232,1026
233,1027
234,1028
235,1029
236,1030
237,1031
238,1032
239,1033
240,1034
241,1035
242,1036
243,1037
244,1038
245,1039
246,1040
247,1041
248,1042
249,1043
250,1044
251,1045
252,1046
253,1047
254,1048
255,1049
256,1050
257,1051
258,1052
259,1053
260,1054
261,1055
262,1056
263,1057
264,1058
265,1059
266,1060
267,1061
268,1062
269,1063
270,1064
271,1065
272,1066
273,1067
274,1068
275,1069
276,1070
277,1071
278,1072
279,1073
280,1074
281,1075
282,1076
283,1077
284,1078
285,1079
286,1080
287,1081
288,1082
289,1083
290,1084
291,1085
292,1086
293,1087
294,1088
295,1089
296,1090
297,1091
298,1092
299,1093
300,1094
301,1095
302,1096
303,1097
304,1098
305,1099
306,1100
307,1101
308,1102
309,1103
310,1104
311,1105
312,1106
313,1107
314,1108
315,1109
316,1110
317,1111
318,1112
319,1113
320,1114
321,1115
322,1116
323,1117
324,1118
325,1119
326,1120
327,1121
328,1122
329,1123
330,1124
331,1125
332,1126
333,1127
334,1128
335,1129
336,1130
337,1131
338,1132
339,1133
340,1134
341,1135
342,1136
343,1137
344,1138
345,1139
346,1140
347,1141
348,1142
349,1143
350,1144
351,1145
352,1146
353,1147
354,1148
355,1149
356,1150
357,1151
358,1152
359,1153
360,1154
361,1155
362,1156
363,1157
364,1158
365,1159
366,1160
367,1161
368,1162
369,1163
370,1164
371,1165
372,1166
373,1167
374,1168
375,1169
376,1170
377,1171
378,1172
379,1173
380,1174
381,1175
382,1176
383,1177
384,1178
385,1179
386,1180
387,1181
388,1182
389,1183
390,1184
391,1185
392,1186
393,1187
394,1188
395,1189
396,1190
397,1191
398,1192
399,1193
400,1194
401,1195
402,1196
403,1197
404,1198
405,1199
406,1200
407,1201
408,1202
409,1203
410,1204
411,1205
412,1206
413,1207
414,1208
415,1209
416,1210
417,1211
418,1212
419,1213
420,1214
421,1215
422,1216
423,1292
424,1301
425,1302
426,1303
