new,original
1,1
2,2
3,3
4,4
5,5
6,6
7,10
8,13
9,14
10,15
11,16
12,18
13,20
14,24
15,25
16,35
17,36
18,37
19,41
20,42
21,47
22,53
23,55
24,58
25,63
26,65
27,66
28,68
29,77
30,78
31,85
32,87
33,88
34,94
35,100
36,110
37,114
38,116
39,117
40,119
41,127
42,129
43,132
44,133
45,155
46,163
47,168
48,171
49,179
50,195
51,205
52,1001
53,1002
54,1003
55,1005
56,1009
57,1013
58,1015
59,1019
60,1028
61,1029
62,1035
63,1040
64,1045
65,1057
66,1059
67,1066
68,1068
69,1069
70,1074
71,1076
72,1079
73,1086
74,1087
75,1090
76,1091
77,1093
78,1099
79,1100
80,1103
81,1104
82,1105
83,1106
84,1112
85,1113
86,1117
87,1118
88,1130
89,1133
90,1135
91,1136
92,1160
93,1162
94,1165
95,1179
96,1180
97,1183
98,1191
99,1195
100,1196
101,1198
102,1211
