new,original
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,34
33,35
34,36
35,37
36,38
37,39
38,40
39,41
40,42
41,43
42,47
43,48
44,49
45,50
46,51
47,52
48,53
49,54
50,55
51,56
52,57
53,58
54,59
55,60
56,61
57,62
58,63
59,64
60,65
61,66
62,67
63,68
64,69
65,70
66,71
67,72
68,73
69,74
70,75
71,76
72,77
73,78
74,79
75,80
76,81
77,82
78,83
79,84
80,85
81,86
82,87
83,88
84,89
85,90
86,92
87,93
88,94
89,95
90,96
91,97
92,98
93,99
94,100
95,101
96,102
97,103
98,104
99,106
100,107
101,108
102,109
103,110
104,111
105,112
106,114
107,116
108,117
109,118
110,119
111,120
112,121
113,122
114,123
115,124
116,125
117,126
118,127
119,128
120,129
121,130
122,132
123,133
124,147
125,148
126,151
127,152
128,154
129,155
130,156
131,163
132,164
133,165
134,168
135,169
136,170
137,171
138,175
139,176
140,177
141,178
142,179
143,180
144,182
145,183
146,184
147,185
148,186
149,187
150,188
151,189
152,190
153,191
154,192
155,193
156,194
157,195
158,196
159,197
160,198
161,199
162,200
163,201
164,202
165,203
166,204
167,205
168,206
169,1001
170,1002
171,1003
172,1004
173,1005
174,1006
175,1007
176,1008
177,1009
178,1010
179,1012
180,1013
181,1014
182,1015
183,1016
184,1017
185,1018
186,1019
187,1021
188,1022
189,1023
190,1024
191,1025
192,1026
193,1027
194,1028
195,1029
196,1030
197,1031
198,1032
199,1033
200,1035
201,1036
202,1037
203,1038
204,1039
205,1040
206,1041
207,1045
208,1046
209,1047
210,1048
211,1049
212,1050
213,1051
214,1054
215,1055
216,1056
217,1057
218,1058
219,1059
220,1060
221,1061
222,1062
223,1063
224,1064
225,1065
226,1066
227,1067
228,1068
229,1069
230,1070
231,1071
232,1072
233,1073
234,1074
235,1075
236,1076
237,1077
238,1078
239,1079
240,1080
241,1081
242,1082
243,1083
244,1084
245,1085
246,1086
247,1087
248,1088
249,1090
250,1091
251,1092
252,1093
253,1094
254,1095
255,1096
256,1097
257,1098
258,1099
259,1100
260,1101
261,1102
262,1103
263,1104
264,1105
265,1106
266,1107
267,1108
268,1109
269,1110
270,1111
271,1112
272,1113
273,1114
274,1117
275,1118
276,1119
277,1120
278,1121
279,1122
280,1123
281,1124
282,1125
283,1126
284,1127
285,1128
286,1129
287,1130
288,1131
289,1132
290,1133
291,1134
292,1135
293,1136
294,1138
295,1139
296,1140
297,1141
298,1142
299,1146
300,1160
301,1162
302,1165
303,1166
304,1167
305,1179
306,1180
307,1181
308,1182
309,1183
310,1184
311,1185
312,1186
313,1189
314,1190
315,1191
316,1192
317,1193
318,1194
319,1195
320,1196
321,1197
322,1198
323,1199
324,1200
325,1201
326,1202
327,1203
328,1204
329,1205
330,1206
331,1207
332,1208
333,1209
334,1211
335,1212
336,1213
337,1214
338,1215
339,1216
340,1292
341,1301
342,1302
343,1303
